id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
17059	Gallatin County	IL07	IL	07	Southeastern Illinois Regional Planning and Development Commission	0	#N/A	#30212E
17061	Greene County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17065	Hamilton County	IL07	IL	07	Southeastern Illinois Regional Planning and Development Commission	0	#N/A	#30212E
17067	Hancock County	IL02	IL	02	Western Illinois Regional Council	0	#N/A	#AE76A6
17069	Hardin County	IL07	IL	07	Southeastern Illinois Regional Planning and Development Commission	0	#N/A	#30212E
17071	Henderson County	IL02	IL	02	Western Illinois Regional Council	0	#N/A	#AE76A6
17075	Iroquois County	IL10	IL	10	Champaign County Regional Planning Commission	0	#N/A	#404143
17079	Jasper County	IL09	IL	09	South Central Illinois Regional Planning and Development Commission	0	#N/A	#383B41
17081	Jefferson County	IL14	IL	14	Greater Egypt Regional Planning and Development Commission	0	#N/A	#E7ECF5
17085	Jo Daviess County	IL04	IL	04	Blackhawk Hills Regional Council	0	#N/A	#CCD6EB
17087	Johnson County	IL11	IL	11	Southern Five Regional Planning District and Development Commission	0	#N/A	#D0A5B1
17095	Knox County	IL02	IL	02	Western Illinois Regional Council	0	#N/A	#AE76A6
17099	LaSalle County	IL03	IL	03	North Central Illinois Council of Governments	0	#N/A	#A3C3D9
17101	Lawrence County	IL08	IL	08	Greater Wabash Regional Planning Commission	0	#N/A	#2D363C
17103	Lee County	IL04	IL	04	Blackhawk Hills Regional Council	0	#N/A	#CCD6EB
17105	Livingston County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17107	Logan County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
17109	McDonough County	IL02	IL	02	Western Illinois Regional Council	0	#N/A	#AE76A6
17121	Marion County	IL09	IL	09	South Central Illinois Regional Planning and Development Commission	0	#N/A	#383B41
17125	Mason County	IL99	IL	99	Unattached	0	#N/A	#A9ACB3
