id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
20147	Phillips County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20151	Pratt County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20153	Rawlins County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20155	Reno County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20157	Republic County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20159	Rice County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20163	Rooks County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20165	Rush County	KS99	KS	99	Great Plains Development Inc	0	#N/A	#383B41
20167	Russell County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20169	Saline County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20171	Scott County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20175	Seward County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20179	Sheridan County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20181	Sherman County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20183	Smith County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20185	Stafford County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20187	Stanton County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20189	Stevens County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20193	Thomas County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20195	Trego County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20199	Wallace County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20201	Washington County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20203	Wichita County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20205	Wilson County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
